id,user,invoice,date,ref_no,pending,due_on,days_passed,sales_person,paid,paid_date
37165,Users object (2),TRUST HOSPITAL,2024-04-22,GSTSAL/120,122350.00,2024-04-22,53,,False,
36632,Users object (2),CHIRANJEEVI HOSPITAL,2023-11-20,GSTSAL/1670,20286.00,2023-11-20,207,,False,
36935,Users object (2),NANDAN HOSPITALS,2024-04-27,GSTSAL/176,252.00,2024-04-27,48,,False,
37217,Users object (2),VIRRD HOSPITAL,2024-04-12,GSTSAL/67,42500.00,2024-04-12,63,,False,
37070,Users object (2),SRI LAKSHMI SURGICAL ENTERPRISES,2024-04-23,GSTSAL/133,1787.00,2024-04-23,52,,False,
36483,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-08,GSTSAL/266,12000.00,2024-05-08,37,,False,
37190,Users object (2),VARUNI SURGICALS,2024-03-02,GSTSAL/2373,5000.00,2024-04-16,59,,False,
36794,Users object (2),M.J.NAIDU SUPER SPECIALITY HOSPITALS,2023-10-17,GSTSAL/1436,120000.00,2023-12-01,196,,False,
36645,Users object (2),DEVI SURGICALS (NARASARAOPET),2023-12-04,GSTSAL/1764,2257.00,2023-12-04,193,,False,
36503,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-30,GSTSAL/429,10000.00,2024-05-30,15,,False,
36402,Users object (2),.R.RATHAIAH,2023-08-14,GSTSAL/922,12065.00,2023-08-14,305,,False,
36960,Users object (2),QUALITY CARE INDIA LIMITED( CASH BILLS),2024-05-25,GSTSAL/390,85000.00,2024-05-25,20,,False,
36807,Users object (2),MANIPAL HOSPITALS (DWARAKA) PRIVATED LIMITED,2024-05-29,GSTSAL/425,144442.00,2024-05-29,16,,False,
36669,Users object (2),INCOR HOSPITALS VIZAG PRIVATE LIMITED,2023-02-17,GSTSAL/1982,20160.00,2023-04-03,438,,False,
37095,Users object (2),SRI LAKSHMI SURGICAL ENTERPRISES,2024-05-17,GSTSAL/322,14459.00,2024-05-17,28,,False,
36529,Users object (2),AMARA PHARMACY,2024-05-22,GSTSAL/368,70308.00,2024-05-22,23,,False,
37218,Users object (2),A J SURGICALS,2024-02-29,"GSTSAL/2363
",12159.00,2024-04-14,61,,False,
37212,Users object (2),VIJAY ORTHOPAEDIC & ACCIDENT CARE HOSPITAL,2024-02-06,GSTSAL/2199,6089.00,2024-02-06,129,,False,
36403,Users object (2),A J SURGICALS,2024-02-29,"GSTSAL/2363
",12159.00,2024-04-14,60,,False,
36404,Users object (2),A J SURGICALS,2024-03-07,"GSTSAL/2409
",1544.00,2024-04-21,53,,False,
36406,Users object (2),A J SURGICALS,2024-05-04,GSTSAL/242,7500.00,2024-05-04,41,,False,
36407,Users object (2),A J SURGICALS,2024-05-10,GSTSAL/292,6153.00,2024-05-10,35,,False,
36408,Users object (2),A.R.SURGICALS,2024-04-26,GSTSAL/168,2079.00,2024-06-10,4,,False,
36409,Users object (2),A.R.SURGICALS,2024-05-17,GSTSAL/325,2221.00,2024-05-17,28,,False,
36410,Users object (2),A.R.SURGICALS,2024-05-21,GSTSAL/361,4150.00,2024-05-21,24,,False,
36411,Users object (2),A.R.SURGICALS,2024-05-29,GSTSAL/428,578.00,2024-05-29,16,,False,
36412,Users object (2),A-1 SERVICES,2024-02-17,GSTSAL/2287,8500.00,2024-02-17,118,,False,
36413,Users object (2),A-1 SERVICES,2024-04-03,GSTSAL/11,7500.00,2024-04-03,72,,False,
36414,Users object (2),A-1 SERVICES,2024-04-18,GSTSAL/101,8500.00,2024-04-18,57,,False,
36415,Users object (2),A-1 SERVICES,2024-04-22,GSTSAL/121,8000.00,2024-04-22,53,,False,
36416,Users object (2),A-1 SERVICES,2024-05-16,GSTSAL/319,15000.00,2024-05-16,29,,False,
36417,Users object (2),A-1 SERVICES,2024-05-17,GSTSAL/329,19500.00,2024-05-17,28,,False,
36418,Users object (2),A-1 SERVICES,2024-05-23,GSTSAL/377,8500.00,2024-05-23,22,,False,
36419,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-01-31,GSTSAL/2144,11731.00,2024-05-30,15,,False,
36421,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-01-31,GSTSAL/2145,26592.00,2024-05-30,15,,False,
36422,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-01,GSTSAL/2156,28613.00,2024-05-31,14,,False,
36423,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-06,GSTSAL/2194,28613.00,2024-06-05,9,,False,
36424,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-06,GSTSAL/2195,61850.00,2024-06-05,9,,False,
36425,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-06,GSTSAL/2196,28613.00,2024-06-05,9,,False,
36426,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-07,GSTSAL/2203,11000.00,2024-06-06,8,,False,
36427,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-08,GSTSAL/2210,33362.00,2024-06-07,7,,False,
36428,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-09,GSTSAL/2223,28613.00,2024-06-08,6,,False,
36429,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-09,GSTSAL/2224,750.00,2024-06-08,6,,False,
36430,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-10,GSTSAL/2230,28613.00,2024-06-09,5,,False,
36431,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-10,GSTSAL/2229,36206.00,2024-06-09,5,,False,
36432,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-10,GSTSAL/2231,37000.00,2024-06-09,5,,False,
36433,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-12,GSTSAL/2234,36956.00,2024-06-11,3,,False,
36434,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-16,GSTSAL/2272,26250.00,2024-06-15,-1,,False,
36435,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-16,GSTSAL/2273,5250.00,2024-06-15,-1,,False,
36436,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-16,GSTSAL/2275,28613.00,2024-06-15,-1,,False,
36437,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-17,GSTSAL/2281,56000.00,2024-06-16,-2,,False,
36438,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-17,GSTSAL/2283,28613.00,2024-06-16,-2,,False,
36439,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-17,GSTSAL/2286,28613.00,2024-06-16,-2,,False,
36440,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-20,GSTSAL/2293,38827.00,2024-06-19,-5,,False,
36441,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-22,GSTSAL/2311,56000.00,2024-06-21,-7,,False,
36442,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-26,GSTSAL/2333,28613.00,2024-06-25,-11,,False,
36443,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-02-28,GSTSAL/2351,28613.00,2024-06-27,-13,,False,
36444,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-03-01,GSTSAL/2366,34000.00,2024-06-29,-15,,False,
36446,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-03-02,GSTSAL/2375,56000.00,2024-06-30,-16,,False,
36447,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-03-08,GSTSAL/2411,39117.00,2024-07-06,-22,,False,
36448,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-03-11,GSTSAL/2427,26250.00,2024-07-09,-25,,False,
36449,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-03-15,GSTSAL/2452,28202.00,2024-07-13,-29,,False,
36450,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-03-15,GSTSAL/2456,28613.00,2024-07-13,-29,,False,
36451,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-03-22,GSTSAL/2492,28613.00,2024-07-20,-36,,False,
36452,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-03-22,GSTSAL/2493,37706.00,2024-07-20,-36,,False,
36453,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-03-23,GSTSAL/2499,29635.00,2024-07-21,-37,,False,
36454,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-03-25,GSTSAL/2507,28613.00,2024-07-23,-39,,False,
36455,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-03-27,GSTSAL/2515,5434.00,2024-07-25,-41,,False,
36456,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-03-27,GSTSAL/2519,26250.00,2024-07-25,-41,,False,
36457,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-02,GSTSAL/4,38216.00,2024-04-02,73,,False,
36458,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-02,GSTSAL/5,18879.00,2024-04-02,73,,False,
36459,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-06,GSTSAL/29,368.00,2024-04-06,69,,False,
36460,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-08,GSTSAL/38,19832.00,2024-04-08,67,,False,
36461,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-08,GSTSAL/39,36016.00,2024-04-08,67,,False,
36462,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-15,GSTSAL/75,28613.00,2024-04-15,60,,False,
36463,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-15,GSTSAL/76,39117.00,2024-04-15,60,,False,
36464,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-15,GSTSAL/77,33362.00,2024-04-15,60,,False,
36465,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-16,GSTSAL/89,36016.00,2024-04-16,59,,False,
36466,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-18,GSTSAL/99,36000.00,2024-04-18,57,,False,
36467,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-18,GSTSAL/100,28613.00,2024-04-18,57,,False,
36468,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-20,GSTSAL/112,44972.00,2024-04-20,55,,False,
36469,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-22,GSTSAL/122,24000.00,2024-04-22,53,,False,
36471,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-23,GSTSAL/129,37661.00,2024-04-23,52,,False,
36472,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-23,GSTSAL/131,34222.00,2024-04-23,52,,False,
36473,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-26,GSTSAL/165,9000.00,2024-04-26,49,,False,
36474,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-26,GSTSAL/166,37661.00,2024-04-26,49,,False,
36475,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-27,GSTSAL/174,69000.00,2024-04-27,48,,False,
36476,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-01,GSTSAL/209,34222.00,2024-05-01,44,,False,
36477,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-02,GSTSAL/212,26250.00,2024-05-02,43,,False,
36478,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-02,GSTSAL/213,2625.00,2024-05-02,43,,False,
36479,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-03,GSTSAL/222,35082.00,2024-05-03,42,,False,
36480,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-04,GSTSAL/233,28613.00,2024-05-04,41,,False,
36481,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-06,GSTSAL/247,38806.00,2024-05-06,39,,False,
36482,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-06,GSTSAL/248,34001.00,2024-05-06,39,,False,
36405,Users object (2),A J SURGICALS,2024-04-10,GSTSAL/44,2100.00,2024-04-10,65,,False,
36509,Users object (2),AKSHARA HOSPITAL,2024-05-03,GSTSAL/226,20993.00,2024-05-03,41,,False,
36485,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-08,GSTSAL/269,4883.00,2024-05-08,37,,False,
36486,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-08,GSTSAL/271,26217.00,2024-05-08,37,,False,
36487,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-08,GSTSAL/270,75000.00,2024-05-08,37,,False,
36488,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-11,GSTSAL/300,33362.00,2024-05-11,34,,False,
36489,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-14,GSTSAL/310,28613.00,2024-05-14,31,,False,
36490,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-16,GSTSAL/315,35456.00,2024-05-16,29,,False,
36491,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-16,GSTSAL/314,62000.00,2024-05-16,29,,False,
36492,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-18,GSTSAL/335,33362.00,2024-05-18,27,,False,
36493,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-18,GSTSAL/337,13900.00,2024-05-18,27,,False,
36494,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-18,GSTSAL/338,473.00,2024-05-18,27,,False,
36495,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-25,GSTSAL/386,12792.00,2024-05-25,20,,False,
36496,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-25,GSTSAL/387,1811.00,2024-05-25,20,,False,
36497,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-25,GSTSAL/388,28613.00,2024-05-25,20,,False,
36498,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-27,GSTSAL/399,56000.00,2024-05-27,18,,False,
36499,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-27,GSTSAL/400,22000.00,2024-05-27,18,,False,
36500,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-28,GSTSAL/409,36929.00,2024-05-28,17,,False,
36501,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-28,GSTSAL/410,25358.00,2024-05-28,17,,False,
36502,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-05-28,GSTSAL/416,28613.00,2024-05-28,17,,False,
36504,Users object (2),"AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED, ELURU",2024-01-27,GSTSAL/2125,274.00,2024-01-27,139,,False,
36505,Users object (2),"AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED, ELURU",2024-02-16,GSTSAL/2269,123077.00,2024-02-16,119,,False,
36506,Users object (2),"AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED, ELURU",2024-02-22,GSTSAL/2307,8000.00,2024-02-22,113,,False,
36507,Users object (2),"AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED, ELURU",2024-04-19,GSTSAL/105,62000.00,2024-04-19,56,,False,
36508,Users object (2),ABHAYANJANEYA HEALTH CARE PRIVATE LIMITED(NLR),2024-05-24,GSTSAL/380,53000.00,2024-05-24,21,,False,
36510,Users object (2),AKSHARA HOSPITAL,2024-05-06,GSTSAL/255,4836.00,2024-05-06,39,,False,
36511,Users object (2),AKSHARA HOSPITAL,2024-05-13,GSTSAL/308,10500.00,2024-05-13,32,,False,
36512,Users object (2),AKSHARA HOSPITAL,2024-05-22,GSTSAL/370,9000.00,2024-05-22,23,,False,
36513,Users object (2),AKSHARA HOSPITAL,2024-05-22,GSTSAL/371,14000.00,2024-05-22,23,,False,
36514,Users object (2),AKSHARA HOSPITAL,2024-05-28,GSTSAL/414,22647.00,2024-05-28,17,,False,
36515,Users object (2),AKSHARA HOSPITAL,2024-05-28,GSTSAL/413,7000.00,2024-05-28,17,,False,
36516,Users object (2),AMAR ORTHO PAEDIC HOSPITAL,2024-03-28,GSTSAL/2541,3800.00,2024-05-12,33,,False,
36517,Users object (2),AMAR ORTHO PAEDIC HOSPITAL,2024-04-06,GSTSAL/33,21000.00,2024-04-06,69,,False,
36518,Users object (2),AMARA PHARMACY,2024-04-05,GSTSAL/20,140616.00,2024-04-05,70,,False,
36519,Users object (2),AMARA PHARMACY,2024-04-10,GSTSAL/52,140616.00,2024-04-10,65,,False,
36520,Users object (2),AMARA PHARMACY,2024-04-27,GSTSAL/172,128010.00,2024-04-27,48,,False,
36521,Users object (2),AMARA PHARMACY,2024-05-03,GSTSAL/224,70308.00,2024-05-03,42,,False,
36522,Users object (2),AMARA PHARMACY,2024-05-04,GSTSAL/232,238384.00,2024-05-04,41,,False,
36523,Users object (2),AMARA PHARMACY,2024-05-06,GSTSAL/252,140616.00,2024-05-06,39,,False,
36524,Users object (2),AMARA PHARMACY,2024-05-08,GSTSAL/274,189500.00,2024-05-08,37,,False,
36525,Users object (2),AMARA PHARMACY,2024-05-10,GSTSAL/290,70308.00,2024-05-10,35,,False,
36526,Users object (2),AMARA PHARMACY,2024-05-15,GSTSAL/313,70308.00,2024-05-15,30,,False,
36527,Users object (2),AMARA PHARMACY,2024-05-17,GSTSAL/324,70308.00,2024-05-17,28,,False,
36528,Users object (2),AMARA PHARMACY,2024-05-20,GSTSAL/344,119192.00,2024-05-20,25,,False,
36530,Users object (2),AMARA PHARMACY,2024-05-27,GSTSAL/404,70308.00,2024-05-27,18,,False,
36531,Users object (2),AMARA PHARMACY,2024-05-27,GSTSAL/405,70308.00,2024-05-27,18,,False,
36532,Users object (2),ANAND HOSPITAL,2024-04-10,GSTSAL/51,90000.00,2024-04-10,65,,False,
36533,Users object (2),ANDHRA HOSPITALS (VISAKHAPATNAM) PRIVATE,2024-02-01,GSTSAL/2159,101150.00,2024-05-01,44,,False,
36534,Users object (2),ANDHRA HOSPITALS (VISAKHAPATNAM) PRIVATE,2024-03-23,GSTSAL/2505,15000.00,2024-06-21,-7,,False,
36535,Users object (2),ANDHRA HOSPITALS BHAVANIPURAM PRIVATE LIMITED,2024-05-04,GSTSAL/234,71500.00,2024-05-04,41,,False,
36536,Users object (2),ANDHRA HOSPITALS(ELURU) PVT LTD,2023-08-23,GSTSAL/1002,3300.00,2023-11-21,206,,False,
36537,Users object (2),ANDHRA HOSPITALS(ELURU) PVT LTD,2024-01-11,GSTSAL/2025,14500.00,2024-04-10,65,,False,
36538,Users object (2),ANDHRA HOSPITALS(ELURU) PVT LTD,2024-01-24,GSTSAL/2093,18000.00,2024-04-23,52,,False,
36539,Users object (2),ANDHRA HOSPITALS(ELURU) PVT LTD,2024-03-23,GSTSAL/2501,4000.00,2024-06-21,-7,,False,
36540,Users object (2),ANDHRA HOSPITALS(ELURU) PVT LTD,2024-03-30,GSTSAL/2548,21000.00,2024-06-28,-14,,False,
36541,Users object (2),ANDHRA HOSPITALS(ELURU) PVT LTD,2024-04-27,GSTSAL/186,15000.00,2024-04-27,48,,False,
36542,Users object (2),ANDHRA HOSPITALS(ELURU) PVT LTD,2024-04-29,GSTSAL/195,17000.00,2024-04-29,46,,False,
36543,Users object (2),ANDHRA HOSPITALS(ELURU) PVT LTD,2024-05-30,GSTSAL/431,19500.00,2024-05-30,15,,False,
36544,Users object (2),ANDHRA HOSPITALS(VIJAYAWADA) PVT LTD,2023-11-30,GSTSAL/1745,88400.00,2024-02-28,107,,False,
36545,Users object (2),ANDHRA HOSPITALS(VIJAYAWADA) PVT LTD,2023-12-04,GSTSAL/1767,12500.00,2024-03-03,103,,False,
36546,Users object (2),ANDHRA HOSPITALS(VIJAYAWADA) PVT LTD,2024-01-31,GSTSAL/2150,129900.00,2024-04-30,45,,False,
36547,Users object (2),ANDHRA HOSPITALS(VIJAYAWADA) PVT LTD,2024-02-02,GSTSAL/2166,71500.00,2024-05-02,43,,False,
36548,Users object (2),ANDHRA HOSPITALS(VIJAYAWADA) PVT LTD,2024-03-13,GSTSAL/2433,129900.00,2024-06-11,3,,False,
36549,Users object (2),ANDHRA HOSPITALS(VIJAYAWADA) PVT LTD,2024-04-06,GSTSAL/28,101880.00,2024-04-06,69,,False,
36550,Users object (2),ANDHRA HOSPITALS(VIJAYAWADA) PVT LTD,2024-04-12,GSTSAL/65,74440.00,2024-04-12,63,,False,
36551,Users object (2),ANIL NEERUKONDA EDUCATIONAL SOCIETY,2024-03-31,894,43538.00,2024-03-31,75,,False,
36552,Users object (2),ANNAPOORNA HOSPITAL,2024-03-30,GSTSAL/2549,21000.00,2024-05-14,31,,False,
36553,Users object (2),ANNAPOORNA HOSPITAL,2024-05-02,GSTSAL/214,15000.00,2024-05-02,43,,False,
36555,Users object (2),APPLE HOSPITALS,2024-02-05,GSTSAL/2190,20723.00,2024-02-05,130,,False,
36556,Users object (2),BE LEAF HOSPITALS,2023-10-02,GSTSAL/1290,68885.00,2023-11-16,211,,False,
36557,Users object (2),BEZWADA PHARMACY@,2024-02-19,GSTSAL/2290,25000.00,2024-02-19,116,,False,
